"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2013",1.29530210004741,1.11195168518728,1.47865251490755,1.01489183850352,1.57571236159131
"2014",1.30060420009483,1.01336565507951,1.58784274511014,0.861310754292303,1.73989764589735
"2015",1.30590630014224,0.919231961960844,1.69258063832364,0.714538931901121,1.89727366838336
"2016",1.31120840018965,0.823866853331062,1.79854994704824,0.565883822003856,2.05653297837545
"2017",1.31651050023707,0.725484762497454,1.90753623797668,0.412614635997227,2.22040636447691
"2018",1.32181260028448,0.623387812347344,2.02023738822162,0.253664062940922,2.38996113762804
"2019",1.32711470033189,0.51729355281456,2.13693584784923,0.0886001327355623,2.56562926792822
"2020",1.33241680037931,0.407104980059771,2.25772862069884,-0.082725509188861,2.74755910994747
"2021",1.33771890042672,0.292815350598344,2.3826224502551,-0.260323176102114,2.93576097695555
"2022",1.34302100047413,0.174463811331219,2.51157818961705,-0.444132997985684,3.13017499893395
"2023",1.34832310052155,0.0521130037962454,2.64453319724685,-0.634059172874657,3.33070537391775
"2024",1.35362520056896,-0.0741628728430748,2.781413273981,-0.829988222941019,3.53723862407894
"2025",1.35892730061637,-0.204284658761279,2.92213925999403,-1.03179908367898,3.74965368491172
